District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Baksa,1243,"(Jalah | 0), (Barnagar RC part | 0), (Baska | 964), (Baganpara | 75), (Barama | 204)",417,510,306,10,0
Kamrup,3714,"(Boko | 0), (Chaygaon | 0), (Kayan | 0), (Goroimari | 0), (Palashbari | 0), (Rangia | 2069), (Kamalpur | 588), (North Ghy | 174), (Hajo | 883)",2044,1145,511,14,0
Kokrajhar,11128,"(Bhawraguri | 89), (Gossaigaon | 736), (Dotma | 6451), (Kokrajhar | 1733), (Bagribari | 2119)",5197,4259,1560,100,12
Karimganj,28,"(Patherkandi | 12), (Karimganj | 0), (RK Nagar | 0), (Badarpur | 16)",8,8,11,1,0
Udalguri,5206,"(Khairabari | 0), (Udalguri | 1395), (Mazbat | 1710), (Kalaigaon | 1492), (Harisinga | 609)",2293,1787,945,181,0
Tinsukia,2123,(Doomdooma | 2123),863,777,415,68,0
Kamrup (M),87,"(Chandrapur | 0), (Sonapur | 0), (Guwahati | 77), (Azara | 0), (Dispur | 10)",42,26,19,0,0
Sonitpur,500,"(Chariduar | 0), (Dhekiajuli | 500), (Tezpur | 0)",155,222,122,1,0
Nalbari,18876,"(Tihu | 3602), (Banekuchi | 6447), (Barkhetri | 0), (Paschim Nalbari | 2836), (Barbhag | 999), (Ghograpar | 276), (Nalbari | 4716)",6709,7958,3917,246,46
Nagaon,4488,"(Kaliabor | 0), (Samaguri | 0), (Raha | 120), (Kampur | 1711), (Nagaon | 2657)",1681,1633,1156,15,3
Tamulpur,2095,"(Goreswar | 1167), (Tamulpur | 928)",607,612,873,3,0
Udalguri,3864,"(Khairabari | 0), (Mazbat | 412), (Udalguri | 1689), (Harisinga | 744), (Kalaigaon | 1019)",1629,1290,826,118,1
Tamulpur,2790,"(Goreswar | 1207), (Tamulpur | 1583)",813,797,1156,24,0
Sonitpur,617,"(Dhekiajuli | 500), (Chariduar | 117), (Naduar | 0), (Thelamara | 0), (Tezpur | 0)",221,252,138,6,0
Nalbari,29965,"(Tihu | 7562), (Banekuchi | 3645), (Paschim Nalbari | 10914), (Barkhetri | 0), (Barbhag | 1746), (Nalbari | 5500), (Ghograpar | 598)",13993,11542,3918,467,45
Nagaon,8715,"(Kaliabor | 0), (Samaguri | 0), (Kampur | 4021), (Raha | 296), (Nagaon | 4398)",3362,3056,2263,31,3
Kokrajhar,3416,"(Bhawraguri | 0), (Gossaigaon | 542), (Bagribari | 2125), (Kokrajhar | 483), (Dotma | 266)",1267,1169,953,23,4
Karimganj,10304,"(Nilambazar | 0), (RK Nagar | 0), (Badarpur | 959), (Patherkandi | 42), (Karimganj | 9303)",4162,4096,2045,1,0
Kamrup (M),42,"(Chandrapur | 0), (Dispur | 0), (Sonapur | 0), (Guwahati | 42)",25,10,7,0,0
Kamrup,6059,"(Goroimari | 0), (Kayan | 0), (Palashbari | 0), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 2454), (Rangia | 2015), (Hajo | 1060), (North Ghy | 530)",2928,1913,1200,17,1
Hailakandi,1323,"(Katlicherra | 0), (Lala | 0), (Hailakandi | 772), (Algapur | 551)",554,412,357,0,0
Goalpara,16754,"(Balijana | 6962), (Lakhipur | 9208), (Matia | 584), (Rongjuli | 0)",7529,5782,3264,148,31
Dima-Hasao,1628,(Haflong | 1628),583,620,369,55,1
Darrang,6777,"(Mangaldoi | 4474), (Dalgaon | 1670), (Sipajhar | 0), (Patharighat | 633)",2495,2330,1924,28,0
